,index,endpoint_count
590,slides/deployment_and_dependencies,1
591,prework/cli/01-intro,1
592,content/html-css/introduction.html,1
593,appendix/angular,1
594,content/php_ii,1
595,appendix/code-standards,1
596,appendix/extra-challenges,1
597,appendix/extra-challenges/mars-rover,1
598,appendix/extra-challenges/facebook-clone,1
599,appendix/extra-challenges/beef-up-your-blog,1
600,content/php_iii,1
601,content/php_i,1
602,capstone/repo-doc,1
603,appendix/further-reading/html-css/flexbox-additional-concepts,1
604,java-ii/deployment-and-dependencies,1
605,content/php_i/intro-via-interactive-shell,1
606,content/javascript,1
607,prework/cli,1
608,appendix/coding-challenges/amateur,1
609,slides/exceptions_and_error_handling,1
610,appendix/code-standards/mysql,1
611,slides/sessions_and_cookies,1
612,slides/annotations,1
613,slides/strings,1
614,appendix/code-standards/html-css,1
615,web-design/ux/layout,1
616,appendix/professional-development/linkedin-tips,1
617,mysql/extra-exercises,1
618,appendix/professional-development/cover-letter,1
619,web-design,1
620,content/laravel/intro,1
621,web-design/ux/purpose,1
622,appendix/extra-challenges/website-status-page,1
623,web-design/ui/visuals,1
624,slides/user_input,1
625,appendix/extra-challenges/memory-game,1
626,slides/file_io,1
627,appendix/git/merge-conflict-demo,1
628,prework/vocab/decimal-number-system,1
629,content/mysql/aliases-and-functions/gitbook/images/favicon.ico,1
630,2.00.04_PrepareData_Excel,1
631,2-storytelling/1-overview,1
632,php_i/gitbook/images/favicon.ico,1
633,examples/html/welcome,1
634,capsones/151,1
635,java-i/control-stateedabitments-and-loops,1
636,web-design/ux,1
637,javascript-i/bom-and-dom/bom/http%22://www.google.com,1
638,javascript-i/bom-and-dom/bom/google.com,1
639,6-regression/2-regression-excel,1
640,appendix/java/intellij-tomcat-configuration,1
641,5-stats/sampling,1
642,prework/cli/07-editing-files-with-vim,1
643,12.3.6_Page_Styling,1
644,11-nlp/topic-modeling,1
645,6-regression/3.1-acquire-and-prep,1
646,6-regression/3.3-explore,1
647,interview,1
648,tc-ml,1
649,2-storytelling/bad-charts,1
650,student/850,1
651,students/743/notes/1,1
652,help,1
653,8.1_Overview,1
654,javascript-i/loops/google.com,1
655,9.1_About,1
656,cli-06-moving-files,1
657,students/743/notes,1
658,students/743/notes/0,1
659,src,1
660,2-storytelling/2.2-create,1
661,capstone/54,1
662,htmle-css/elements,1
663,objects/math,1
664,html,1
665,3-sql/9.3-joins,1
666,content/mysql/relationships/indexes.html,1
667,appendix/cli/2-listing-files,1
668,html-css/elecments,1
669,130,1
670,132,1
671,job-portal,1
672,code-standards/java,1
673,further-reading/spring,1
674,further-reading,1
675,ds,1
676,fundamentals/vocabulary,1
677,javascript-i/intruduction/operators,1
678,extra,1
679,job-board,1
680,131,1
681,selectors,1
682,java-iii/sessions-and-cookies/style/css,1
683,javascript-i/html-css,1
684,javascript-i/img/favicon.ico,1
685,content/examples/appendix,1
686,sql/database-design,1
687,nlp/acquire,1
688,java-iii/mvc/java-beans/',1
689,examples/bootstrap/pizza.png%22);,1
690,10.00_Intro.html,1
691,coding-challenges,1
692,133,1
693,115,1
694,examples/css/..%5c,1
695,examples/css/..%c0%af,1
696,13.01.03_Refine,1
697,7-classification/6.4-knn,1
698,interview-questions,1
699,slides/threads,1
700,1-fundamentals/2.4-more-excel-features,1
701,4-python/7.4-intro-to-pandas,1
702,5-stats/2-descriptive-stats,1
703,quiz/submit/2186,1
704,strings,1
705,7-classification/confusion-matrix,1
706,10._NLP,1
707,content/examples/constructors-destructors.html,1
708,student/202,1
709,content/appendix/angular/dependencies.html,1
710,student/create,1
711,9.20_Data,1
712,appendix/intellij-intro,1
713,javascript-functions,1
714,handouts,1
715,wp-login,1
716,04_navigating_the_filesystem,1
